"","entrez_id","gene","chromosome","gene_name","mouse_homologenes","ensembl_gene_id"
"2712",3685,"ITGAV","2","integrin, alpha V","Itgav","ENSG00000138448"
"2713",3687,"ITGAX","16","integrin, alpha X (complement component 3 receptor 4 subunit)","Itgax","ENSG00000140678"
"2714",3688,"ITGB1","10","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","Itgb1","ENSG00000150093"
"2715",3689,"ITGB2","21","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","Itgb2","ENSG00000160255"
"2716",3690,"ITGB3","17","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","Itgb3","ENSG00000259207"
"2717",3691,"ITGB4","17","integrin, beta 4","Itgb4","ENSG00000132470"
"2718",3692,"EIF6","20","eukaryotic translation initiation factor 6","Eif6","ENSG00000242372"
"2719",3693,"ITGB5","3","integrin, beta 5","Itgb5","ENSG00000082781"
"2720",3694,"ITGB6","2","integrin, beta 6","Itgb6","ENSG00000115221"
"2721",3695,"ITGB7","12","integrin, beta 7","Itgb7","ENSG00000139626"
"2722",3696,"ITGB8","7","integrin, beta 8","Itgb8","ENSG00000105855"
"2723",3697,"ITIH1","3","inter-alpha-trypsin inhibitor heavy chain 1","Itih1","ENSG00000055957"
"2724",3698,"ITIH2","10","inter-alpha-trypsin inhibitor heavy chain 2","Itih2","ENSG00000151655"
"2725",3699,"ITIH3","3","inter-alpha-trypsin inhibitor heavy chain 3","Itih3","ENSG00000162267"
"2726",3700,"ITIH4","3","inter-alpha-trypsin inhibitor heavy chain family, member 4","Itih4","ENSG00000055955"
"2727",3702,"ITK","5","IL2-inducible T-cell kinase","Itk","ENSG00000113263"
"2728",3703,"STT3A","11","STT3A, subunit of the oligosaccharyltransferase complex (catalytic)","Stt3a","ENSG00000134910"
"2729",3704,"ITPA","20","inosine triphosphatase (nucleoside triphosphate pyrophosphatase)","Itpa","ENSG00000125877"
"2730",3705,"ITPK1","14","inositol-tetrakisphosphate 1-kinase","Itpk1","ENSG00000274958, ENSG00000100605"
"2731",3706,"ITPKA","15","inositol-trisphosphate 3-kinase A","Itpka","ENSG00000137825"
"2732",3707,"ITPKB","1","inositol-trisphosphate 3-kinase B","Itpkb","ENSG00000143772"
"2733",3708,"ITPR1","3","inositol 1,4,5-trisphosphate receptor, type 1","Itpr1","ENSG00000150995"
"2734",3709,"ITPR2","12","inositol 1,4,5-trisphosphate receptor, type 2","Itpr2","ENSG00000123104"
"2735",3710,"ITPR3","6","inositol 1,4,5-trisphosphate receptor, type 3","Itpr3","ENSG00000096433"
"2736",3712,"IVD","15","isovaleryl-CoA dehydrogenase","Ivd","ENSG00000128928"
"2737",3713,"IVL","1","involucrin",NA,"ENSG00000163207"
"2738",3714,"JAG2","14","jagged 2","Jag2","ENSG00000184916"
"2739",3716,"JAK1","1","Janus kinase 1","Jak1","ENSG00000162434"
"2740",3717,"JAK2","9","Janus kinase 2","Jak2","ENSG00000096968"
"2741",3718,"JAK3","19","Janus kinase 3","Jak3","ENSG00000105639"
"2742",3720,"JARID2","6","jumonji, AT rich interactive domain 2","Jarid2","ENSG00000008083"
"2743",3725,"JUN","1","jun proto-oncogene","Jun","ENSG00000177606"
"2744",3726,"JUNB","19","jun B proto-oncogene","Junb","ENSG00000171223"
"2745",3727,"JUND","19","jun D proto-oncogene","Jund","ENSG00000130522"
"2746",3728,"JUP","17","junction plakoglobin","Jup","ENSG00000173801"
"2747",3730,"KAL1","X","Kallmann syndrome 1 sequence",NA,"ENSG00000011201"
"2748",3732,"CD82","11","CD82 molecule","Cd82","ENSG00000085117"
"2749",3734,"KALP","Y","Kallmann syndrome sequence pseudogene",NA,NA
"2750",3735,"KARS","16","lysyl-tRNA synthetase","Kars","ENSG00000065427"
"2751",3736,"KCNA1","12","potassium channel, voltage gated shaker related subfamily A, member 1","Kcna1","ENSG00000111262"
"2752",3737,"KCNA2","1","potassium channel, voltage gated shaker related subfamily A, member 2","Kcna2","ENSG00000177301"
"2753",3738,"KCNA3","1","potassium voltage-gated channel, shaker-related subfamily, member 3","Kcna3","ENSG00000177272"
"2754",3739,"KCNA4","11","potassium channel, voltage gated shaker related subfamily A, member 4","Kcna4","ENSG00000182255"
"2755",3741,"KCNA5","12","potassium channel, voltage gated shaker related subfamily A, member 5","Kcna5","ENSG00000130037"
"2756",3742,"KCNA6","12","potassium channel, voltage gated shaker related subfamily A, member 6","Kcna6","ENSG00000130035"
"2757",3743,"KCNA7","19","potassium channel, voltage gated shaker related subfamily A, member 7","Kcna7","ENSG00000104848"
"2758",3744,"KCNA10","1","potassium channel, voltage gated shaker related subfamily A, member 10","Kcna10","ENSG00000143105"
"2759",3745,"KCNB1","20","potassium channel, voltage gated Shab related subfamily B, member 1","Kcnb1","ENSG00000158445"
"2760",3746,"KCNC1","11","potassium channel, voltage gated Shaw related subfamily C, member 1","Kcnc1","ENSG00000129159"
"2761",3747,"KCNC2","12","potassium channel, voltage gated Shaw related subfamily C, member 2","Kcnc2","ENSG00000166006"
"2762",3748,"KCNC3","19","potassium channel, voltage gated Shaw related subfamily C, member 3","Kcnc3","ENSG00000131398"
"2763",3749,"KCNC4","1","potassium channel, voltage gated Shaw related subfamily C, member 4","Kcnc4","ENSG00000116396"
"2764",3750,"KCND1","X","potassium channel, voltage gated Shal related subfamily D, member 1","Kcnd1","ENSG00000102057"
"2765",3751,"KCND2","7","potassium channel, voltage gated Shal related subfamily D, member 2","Kcnd2","ENSG00000184408"
"2766",3752,"KCND3","1","potassium channel, voltage gated Shal related subfamily D, member 3","Kcnd3","ENSG00000171385"
"2767",3753,"KCNE1","21","potassium voltage-gated channel, Isk-related family, member 1",NA,"ENSG00000180509"
"2768",3754,"KCNF1","2","potassium channel, voltage gated modifier subfamily F, member 1","Kcnf1","ENSG00000162975"
"2769",3755,"KCNG1","20","potassium channel, voltage gated modifier subfamily G, member 1","Kcng1","ENSG00000026559"
"2770",3756,"KCNH1","1","potassium channel, voltage gated eag related subfamily H, member 1","Kcnh1","ENSG00000143473"
"2771",3757,"KCNH2","7","potassium voltage-gated channel, subfamily H (eag-related), member 2","Kcnh2","ENSG00000055118"
"2772",3758,"KCNJ1","11","potassium channel, inwardly rectifying subfamily J, member 1","Kcnj1","ENSG00000151704"
"2773",3759,"KCNJ2","17","potassium channel, inwardly rectifying subfamily J, member 2","Kcnj2","ENSG00000123700"
"2774",3760,"KCNJ3","2","potassium channel, inwardly rectifying subfamily J, member 3","Kcnj3","ENSG00000162989"
"2775",3761,"KCNJ4","22","potassium channel, inwardly rectifying subfamily J, member 4","Kcnj4","ENSG00000168135"
"2776",3762,"KCNJ5","11","potassium inwardly-rectifying channel, subfamily J, member 5","Kcnj5","ENSG00000120457"
"2777",3763,"KCNJ6","21","potassium channel, inwardly rectifying subfamily J, member 6","Kcnj6","ENSG00000157542"
"2778",3764,"KCNJ8","12","potassium channel, inwardly rectifying subfamily J, member 8","Kcnj8","ENSG00000121361"
"2779",3765,"KCNJ9","1","potassium channel, inwardly rectifying subfamily J, member 9","Kcnj9","ENSG00000162728"
"2780",3766,"KCNJ10","1","potassium channel, inwardly rectifying subfamily J, member 10","Kcnj10","ENSG00000177807"
"2781",3767,"KCNJ11","11","potassium channel, inwardly rectifying subfamily J, member 11","Kcnj11","ENSG00000187486"
"2782",3768,"KCNJ12","17","potassium channel, inwardly rectifying subfamily J, member 12","Kcnj12","ENSG00000184185"
"2783",3769,"KCNJ13","2","potassium channel, inwardly rectifying subfamily J, member 13","Kcnj13","ENSG00000115474"
"2784",3770,"KCNJ14","19","potassium channel, inwardly rectifying subfamily J, member 14","Kcnj14","ENSG00000182324"
"2785",3772,"KCNJ15","21","potassium channel, inwardly rectifying subfamily J, member 15","Kcnj15","ENSG00000157551"
"2786",3773,"KCNJ16","17","potassium channel, inwardly rectifying subfamily J, member 16","Kcnj16","ENSG00000153822"
"2787",3775,"KCNK1","1","potassium channel, two pore domain subfamily K, member 1","Kcnk1","ENSG00000135750"
"2788",3776,"KCNK2","1","potassium channel, two pore domain subfamily K, member 2","Kcnk2","ENSG00000082482"
"2789",3777,"KCNK3","2","potassium channel, two pore domain subfamily K, member 3","Kcnk3","ENSG00000171303"
"2790",3778,"KCNMA1","10","potassium channel, calcium activated large conductance subfamily M alpha, member 1","Kcnma1","ENSG00000156113"
"2791",3779,"KCNMB1","5","potassium channel subfamily M regulatory beta subunit 1","Kcnmb1","ENSG00000145936"
"2792",3780,"KCNN1","19","potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 1","Kcnn1","ENSG00000105642"
"2793",3781,"KCNN2","5","potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 2",NA,"ENSG00000080709"
"2794",3782,"KCNN3","1","potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 3","Kcnn3","ENSG00000143603"
"2795",3783,"KCNN4","19","potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 4","Kcnn4","ENSG00000104783"
"2796",3784,"KCNQ1","11","potassium voltage-gated channel, KQT-like subfamily, member 1","Kcnq1","ENSG00000282076, ENSG00000053918"
"2797",3785,"KCNQ2","20","potassium channel, voltage gated KQT-like subfamily Q, member 2","Kcnq2","ENSG00000075043, ENSG00000281151"
"2798",3786,"KCNQ3","8","potassium channel, voltage gated KQT-like subfamily Q, member 3","Kcnq3","ENSG00000184156"
"2799",3787,"KCNS1","20","potassium voltage-gated channel, modifier subfamily S, member 1","Kcns1","ENSG00000124134"
"2800",3788,"KCNS2","8","potassium voltage-gated channel, modifier subfamily S, member 2","Kcns2","ENSG00000156486"
"2801",3790,"KCNS3","2","potassium voltage-gated channel, modifier subfamily S, member 3","Kcns3","ENSG00000170745"
"2802",3791,"KDR","4","kinase insert domain receptor (a type III receptor tyrosine kinase)","Kdr","ENSG00000128052"
"2803",3792,"KEL","7","Kell blood group, metallo-endopeptidase","Kel","ENSG00000276615, ENSG00000197993"
"2804",3795,"KHK","2","ketohexokinase (fructokinase)","Khk","ENSG00000138030"
"2805",3796,"KIF2A","5","kinesin heavy chain member 2A","Kif2a","ENSG00000068796"
"2806",3797,"KIF3C","2","kinesin family member 3C","Kif3c","ENSG00000084731"
"2807",3798,"KIF5A","12","kinesin family member 5A","Kif5a","ENSG00000155980"
"2808",3799,"KIF5B","10","kinesin family member 5B","Kif5b","ENSG00000170759"
"2809",3800,"KIF5C","2","kinesin family member 5C","Kif5c","ENSG00000168280, ENSG00000276734"
"2810",3801,"KIFC3","16","kinesin family member C3","Kifc3","ENSG00000140859"
"2811",3802,"KIR2DL1","19","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1",NA,"ENSG00000277833, ENSG00000276310, ENSG00000276387, ENSG00000278805, ENSG00000278821, ENSG00000273794, ENSG00000278207, ENSG00000275522, ENSG00000274692, ENSG00000278248, ENSG00000275276, ENSG00000277616, ENSG00000275750, ENSG00000276625, ENSG00000278738, ENSG00000274782, ENSG00000274926, ENSG00000278755, ENSG00000275196, ENSG00000278495, ENSG00000276820, ENSG00000277356, ENSG00000273510, ENSG00000275080, ENSG00000278503, ENSG00000125498, ENSG00000283723, ENSG00000284530, ENSG00000284514, ENSG00000284100, ENSG00000284551, ENSG00000284401, ENSG00000284347, ENSG00000284145"
"2812",3804,"KIR2DL3","19","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3",NA,"ENSG00000274402, ENSG00000276218, ENSG00000275623, ENSG00000274830, ENSG00000275008, ENSG00000276459, ENSG00000277554, ENSG00000276590, ENSG00000278327, ENSG00000274952, ENSG00000277484, ENSG00000277924, ENSG00000277317, ENSG00000273887, ENSG00000275658, ENSG00000274108, ENSG00000273947, ENSG00000278369, ENSG00000274410, ENSG00000243772, ENSG00000284504, ENSG00000283790, ENSG00000283996, ENSG00000284132, ENSG00000284236, ENSG00000284510, ENSG00000284333, ENSG00000283708, ENSG00000283702, ENSG00000284044, ENSG00000284241"
"2813",3805,"KIR2DL4","19","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4",NA,"ENSG00000278606, ENSG00000277362, ENSG00000277076, ENSG00000278430, ENSG00000274189, ENSG00000273575, ENSG00000275848, ENSG00000277540, ENSG00000278201, ENSG00000278271, ENSG00000275456, ENSG00000273498, ENSG00000274193, ENSG00000278074, ENSG00000274945, ENSG00000277964, ENSG00000277355, ENSG00000277850, ENSG00000274955, ENSG00000274609, ENSG00000275699, ENSG00000276979, ENSG00000275317, ENSG00000275732, ENSG00000277750, ENSG00000275237, ENSG00000276779, ENSG00000276044, ENSG00000274232, ENSG00000189013, ENSG00000283961, ENSG00000284509, ENSG00000284365, ENSG00000284457, ENSG00000284460, ENSG00000283869, ENSG00000284562, ENSG00000284206, ENSG00000283986, ENSG00000284013, ENSG00000284340"
"2814",3809,"KIR2DS4","19","killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4",NA,"ENSG00000275351, ENSG00000276395, ENSG00000276209, ENSG00000274533, ENSG00000274921, ENSG00000277345, ENSG00000274957, ENSG00000274807, ENSG00000275731, ENSG00000276154, ENSG00000274406, ENSG00000274324, ENSG00000274947, ENSG00000275353, ENSG00000276634, ENSG00000275938, ENSG00000276885, ENSG00000276465, ENSG00000274714, ENSG00000273526, ENSG00000277078, ENSG00000273931, ENSG00000221957, ENSG00000284307, ENSG00000284408, ENSG00000283727, ENSG00000284264, ENSG00000283870, ENSG00000283846, ENSG00000283779, ENSG00000284244, ENSG00000283882"
"2815",3811,"KIR3DL1","19","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1",NA,"ENSG00000275486, ENSG00000273775, ENSG00000274146, ENSG00000277175, ENSG00000276329, ENSG00000274948, ENSG00000274920, ENSG00000278427, ENSG00000278856, ENSG00000273518, ENSG00000276501, ENSG00000277272, ENSG00000275717, ENSG00000276379, ENSG00000275545, ENSG00000275288, ENSG00000275786, ENSG00000278368, ENSG00000276423, ENSG00000278079, ENSG00000275659, ENSG00000274036, ENSG00000167633, ENSG00000283954, ENSG00000284177, ENSG00000284426, ENSG00000283729, ENSG00000284589, ENSG00000283827, ENSG00000283731, ENSG00000284093, ENSG00000284342"
"2816",3812,"KIR3DL2","19","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2",NA,"ENSG00000275083, ENSG00000278850, ENSG00000278656, ENSG00000275838, ENSG00000276739, ENSG00000277709, ENSG00000273911, ENSG00000276424, ENSG00000278361, ENSG00000276004, ENSG00000278403, ENSG00000277982, ENSG00000275626, ENSG00000276357, ENSG00000275511, ENSG00000273735, ENSG00000275262, ENSG00000278442, ENSG00000278758, ENSG00000278809, ENSG00000278726, ENSG00000275566, ENSG00000278707, ENSG00000275629, ENSG00000276882, ENSG00000278710, ENSG00000274722, ENSG00000275416, ENSG00000278474, ENSG00000277181, ENSG00000240403, ENSG00000284384, ENSG00000284063, ENSG00000284295, ENSG00000284213, ENSG00000284466, ENSG00000284046, ENSG00000288389, ENSG00000283951, ENSG00000283975, ENSG00000284528, ENSG00000284192, ENSG00000284381"
"2817",3814,"KISS1","1","KiSS-1 metastasis-suppressor","Kiss1","ENSG00000170498"
"2818",3815,"KIT","4","v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog","Kit","ENSG00000157404"
"2819",3816,"KLK1","19","kallikrein 1",NA,"ENSG00000167748"
"2820",3817,"KLK2","19","kallikrein-related peptidase 2",NA,"ENSG00000167751"
"2821",3818,"KLKB1","4","kallikrein B, plasma (Fletcher factor) 1","Klkb1","ENSG00000164344"
"2822",3820,"KLRB1","12","killer cell lectin-like receptor subfamily B, member 1","Klrb1a;Klrb1b;Klrb1c","ENSG00000111796"
"2823",3821,"KLRC1","12","killer cell lectin-like receptor subfamily C, member 1","Klrc1","ENSG00000134545"
"2824",3822,"KLRC2","12","killer cell lectin-like receptor subfamily C, member 2",NA,"ENSG00000205809"
"2825",3823,"KLRC3","12","killer cell lectin-like receptor subfamily C, member 3",NA,"ENSG00000205810"
"2826",3824,"KLRD1","12","killer cell lectin-like receptor subfamily D, member 1","Klrd1","ENSG00000134539"
"2827",3827,"KNG1","3","kininogen 1","Kng1;Kng2","ENSG00000113889"
"2828",3831,"KLC1","14","kinesin light chain 1","Klc1","ENSG00000126214"
"2829",3832,"KIF11","10","kinesin family member 11","Kif11","ENSG00000138160"
"2830",3833,"KIFC1","6","kinesin family member C1","Kifc1;Kifc5b","ENSG00000237649, ENSG00000233450, ENSG00000056678, ENSG00000204197"
"2831",3834,"KIF25","6","kinesin family member 25",NA,"ENSG00000125337"
"2832",3835,"KIF22","16","kinesin family member 22","Kif22","ENSG00000079616"
"2833",3836,"KPNA1","3","karyopherin alpha 1 (importin alpha 5)","Kpna1","ENSG00000114030"
"2834",3837,"KPNB1","17","karyopherin (importin) beta 1","Kpnb1","ENSG00000108424"
"2835",3838,"KPNA2","17","karyopherin alpha 2 (RAG cohort 1, importin alpha 1)","Kpna2","ENSG00000182481"
"2836",3839,"KPNA3","13","karyopherin alpha 3 (importin alpha 4)","Kpna3","ENSG00000102753"
"2837",3840,"KPNA4","3","karyopherin alpha 4 (importin alpha 3)","Kpna4","ENSG00000186432"
"2838",3841,"KPNA5","6","karyopherin alpha 5 (importin alpha 6)",NA,"ENSG00000196911"
"2839",3842,"TNPO1","5","transportin 1","Tnpo1","ENSG00000083312"
"2840",3843,"IPO5","13","importin 5","Ipo5","ENSG00000065150"
"2841",3844,"KRASP1","6","Kirsten rat sarcoma viral oncogene homolog pseudogene 1 (functional)",NA,NA
"2842",3845,"KRAS","12","Kirsten rat sarcoma viral oncogene homolog","Kras","ENSG00000133703"
"2843",3846,"KRTAP5-9","11","keratin associated protein 5-9",NA,"ENSG00000254997"
"2844",3848,"KRT1","12","keratin 1, type II","Krt1","ENSG00000167768"
"2845",3849,"KRT2","12","keratin 2, type II",NA,"ENSG00000172867"
"2846",3850,"KRT3","12","keratin 3, type II",NA,"ENSG00000186442"
"2847",3851,"KRT4","12","keratin 4, type II","Krt4","ENSG00000170477"
"2848",3852,"KRT5","12","keratin 5, type II","Krt5","ENSG00000186081"
"2849",3853,"KRT6A","12","keratin 6A, type II",NA,"ENSG00000205420"
"2850",3854,"KRT6B","12","keratin 6B, type II","Krt6a;Krt6b","ENSG00000185479"
"2851",3855,"KRT7","12","keratin 7, type II","Krt7","ENSG00000135480"
"2852",3856,"KRT8","12","keratin 8, type II","Krt8","ENSG00000170421"
"2853",3857,"KRT9","17","keratin 9, type I",NA,"ENSG00000171403"
"2854",3858,"KRT10","17","keratin 10, type I",NA,"ENSG00000186395"
"2855",3859,"KRT12","17","keratin 12, type I","Krt12","ENSG00000263243, ENSG00000187242"
"2856",3860,"KRT13","17","keratin 13, type I","Krt13","ENSG00000171401"
"2857",3861,"KRT14","17","keratin 14, type I","Krt14","ENSG00000186847"
"2858",3866,"KRT15","17","keratin 15, type I","Krt15","ENSG00000171346"
"2859",3868,"KRT16","17","keratin 16, type I","Krt16","ENSG00000186832"
"2860",3872,"KRT17","17","keratin 17, type I","Krt17","ENSG00000128422"
"2861",3875,"KRT18","12","keratin 18, type I","Krt18","ENSG00000111057"
"2862",3876,"KRT18P11","X","keratin 18 pseudogene 11",NA,NA
"2863",3879,"KRT18P1","6","keratin 18 pseudogene 1",NA,NA
"2864",3880,"KRT19","17","keratin 19, type I","Krt19","ENSG00000171345"
"2865",3881,"KRT31","17","keratin 31, type I","Krt31;Krt33a;Krt33b","ENSG00000262993, ENSG00000094796"
"2866",3882,"KRT32","17","keratin 32, type I","Krt32","ENSG00000108759"
"2867",3883,"KRT33A","17","keratin 33A, type I",NA,"ENSG00000261986, ENSG00000006059"
"2868",3884,"KRT33B","17","keratin 33B, type I",NA,"ENSG00000263012, ENSG00000131738"
"2869",3885,"KRT34","17","keratin 34, type I","Krt34","ENSG00000262045, ENSG00000131737"
"2870",3886,"KRT35","17","keratin 35, type I","Krt35","ENSG00000197079"
"2871",3887,"KRT81","12","keratin 81, type II","Krt81","ENSG00000205426"
"2872",3888,"KRT82","12","keratin 82, type II","Krt82","ENSG00000161850"
"2873",3889,"KRT83","12","keratin 83, type II","5430421N21Rik","ENSG00000170523"
"2874",3890,"KRT84","12","keratin 84, type II","Krt84","ENSG00000161849"
"2875",3891,"KRT85","12","keratin 85, type II",NA,"ENSG00000135443"
"2876",3892,"KRT86","12","keratin 86, type II","Krt86","ENSG00000170442"
"2877",3895,"KTN1","14","kinectin 1 (kinesin receptor)",NA,"ENSG00000126777"
"2878",3897,"L1CAM","X","L1 cell adhesion molecule","L1cam","ENSG00000198910"
"2879",3898,"LAD1","1","ladinin 1","Lad1","ENSG00000159166"
"2880",3899,"AFF3","2","AF4/FMR2 family, member 3","Aff3","ENSG00000144218"
"2881",3902,"LAG3","12","lymphocyte-activation gene 3","Lag3","ENSG00000089692"
"2882",3903,"LAIR1","19","leukocyte-associated immunoglobulin-like receptor 1","Lair1","ENSG00000274110, ENSG00000276163, ENSG00000278154, ENSG00000276053, ENSG00000167613"
"2883",3904,"LAIR2","19","leukocyte-associated immunoglobulin-like receptor 2",NA,"ENSG00000274084, ENSG00000275819, ENSG00000277335, ENSG00000167618"
"2884",3906,"LALBA","12","lactalbumin, alpha-","Lalba","ENSG00000167531"
"2885",3908,"LAMA2","6","laminin, alpha 2","Lama2","ENSG00000196569"
"2886",3909,"LAMA3","18","laminin, alpha 3","Lama3","ENSG00000053747"
"2887",3910,"LAMA4","6","laminin, alpha 4","Lama4","ENSG00000112769"
"2888",3911,"LAMA5","20","laminin, alpha 5","Lama5","ENSG00000130702"
"2889",3912,"LAMB1","7","laminin, beta 1","Lamb1","ENSG00000091136"
"2890",3913,"LAMB2","3","laminin, beta 2 (laminin S)","Lamb2","ENSG00000172037"
"2891",3914,"LAMB3","1","laminin, beta 3","Lamb3","ENSG00000196878"
"2892",3915,"LAMC1","1","laminin, gamma 1 (formerly LAMB2)","Lamc1","ENSG00000135862"
"2893",3916,"LAMP1","13","lysosomal-associated membrane protein 1","Lamp1","ENSG00000185896"
"2894",3918,"LAMC2","1","laminin, gamma 2","Lamc2","ENSG00000058085"
"2895",3920,"LAMP2","X","lysosomal-associated membrane protein 2","Lamp2","ENSG00000005893"
"2896",3921,"RPSA","3","ribosomal protein SA","Rpsa","ENSG00000168028"
"2897",3923,"RPSAP13","14","ribosomal protein SA pseudogene 13",NA,NA
"2898",3924,"RPSAP14","X","ribosomal protein SA pseudogene 14",NA,NA
"2899",3925,"STMN1","1","stathmin 1","Stmn1","ENSG00000117632"
"2900",3927,"LASP1","17","LIM and SH3 protein 1","Lasp1","ENSG00000002834"
"2901",3929,"LBP","20","lipopolysaccharide binding protein","Lbp","ENSG00000129988"
"2902",3930,"LBR","1","lamin B receptor","Lbr","ENSG00000143815"
"2903",3931,"LCAT","16","lecithin-cholesterol acyltransferase","Lcat","ENSG00000213398"
"2904",3932,"LCK","1","LCK proto-oncogene, Src family tyrosine kinase","Lck","ENSG00000182866"
"2905",3933,"LCN1","9","lipocalin 1",NA,"ENSG00000160349"
"2906",3934,"LCN2","9","lipocalin 2","Lcn2","ENSG00000148346"
"2907",3936,"LCP1","13","lymphocyte cytosolic protein 1 (L-plastin)","Lcp1","ENSG00000136167"
"2908",3937,"LCP2","5","lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)","Lcp2","ENSG00000043462"
"2909",3938,"LCT","2","lactase","Lct","ENSG00000115850"
"2910",3939,"LDHA","11","lactate dehydrogenase A","Ldha","ENSG00000134333, ENSG00000288299"
"2911",3940,"LDHAP1","4","lactate dehydrogenase A pseudogene 1",NA,NA
"2912",3945,"LDHB","12","lactate dehydrogenase B","Ldhb","ENSG00000111716"
"2913",3947,"LDHBP2","X","lactate dehydrogenase B pseudogene 2",NA,NA
"2914",3948,"LDHC","11","lactate dehydrogenase C","Ldhc","ENSG00000166796"
"2915",3949,"LDLR","19","low density lipoprotein receptor","Ldlr","ENSG00000130164"
"2916",3950,"LECT2","5","leukocyte cell-derived chemotaxin 2","Lect2","ENSG00000145826"
"2917",3952,"LEP","7","leptin","Lep","ENSG00000174697"
"2918",3953,"LEPR","1","leptin receptor","Lepr","ENSG00000116678"
"2919",3954,"LETM1","4","leucine zipper-EF-hand containing transmembrane protein 1","Letm1","ENSG00000168924"
"2920",3955,"LFNG","7","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","Lfng","ENSG00000106003"
"2921",3956,"LGALS1","22","lectin, galactoside-binding, soluble, 1","Lgals1","ENSG00000100097"
"2922",3957,"LGALS2","22","lectin, galactoside-binding, soluble, 2","Lgals2","ENSG00000100079"
"2923",3958,"LGALS3","14","lectin, galactoside-binding, soluble, 3","Lgals3","ENSG00000131981"
"2924",3959,"LGALS3BP","17","lectin, galactoside-binding, soluble, 3 binding protein","Lgals3bp","ENSG00000108679"
"2925",3960,"LGALS4","19","lectin, galactoside-binding, soluble, 4","Lgals4","ENSG00000171747, ENSG00000282992"
"2926",3963,"LGALS7","19","lectin, galactoside-binding, soluble, 7","Lgals7","ENSG00000205076, ENSG00000178934, ENSG00000282902, ENSG00000283082"
"2927",3964,"LGALS8","1","lectin, galactoside-binding, soluble, 8","Lgals8","ENSG00000116977"
"2928",3965,"LGALS9","17","lectin, galactoside-binding, soluble, 9",NA,"ENSG00000168961"
"2929",3972,"LHB","19","luteinizing hormone beta polypeptide","Lhb","ENSG00000104826"
"2930",3973,"LHCGR","2","luteinizing hormone/choriogonadotropin receptor","Lhcgr","ENSG00000138039"
"2931",3975,"LHX1","17","LIM homeobox 1","Lhx1","ENSG00000274577, ENSG00000273706"
"2932",3976,"LIF","22","leukemia inhibitory factor","Lif","ENSG00000128342"
"2933",3977,"LIFR","5","leukemia inhibitory factor receptor alpha","Lifr","ENSG00000113594"
"2934",3978,"LIG1","19","ligase I, DNA, ATP-dependent","Lig1","ENSG00000105486"
"2935",3980,"LIG3","17","ligase III, DNA, ATP-dependent","Lig3","ENSG00000005156"
"2936",3981,"LIG4","13","ligase IV, DNA, ATP-dependent","Lig4","ENSG00000174405"
"2937",3982,"LIM2","19","lens intrinsic membrane protein 2, 19kDa","Lim2","ENSG00000105370"
"2938",3983,"ABLIM1","10","actin binding LIM protein 1","Ablim1","ENSG00000099204"
"2939",3984,"LIMK1","7","LIM domain kinase 1","Limk1","ENSG00000106683"
"2940",3985,"LIMK2","22","LIM domain kinase 2","Limk2","ENSG00000182541"
"2941",3987,"LIMS1","2","LIM and senescent cell antigen-like domains 1","Lims1","ENSG00000169756"
"2942",3988,"LIPA","10","lipase A, lysosomal acid, cholesterol esterase","Lipa","ENSG00000107798"
"2943",3990,"LIPC","15","lipase, hepatic","Lipc","ENSG00000166035"
"2944",3991,"LIPE","19","lipase, hormone-sensitive","Lipe","ENSG00000079435"
"2945",3992,"FADS1","11","fatty acid desaturase 1","Fads1","ENSG00000149485"
"2946",3993,"LLGL2","17","lethal giant larvae homolog 2 (Drosophila)","Llgl2","ENSG00000073350"
"2947",3995,"FADS3","11","fatty acid desaturase 3","Fads3","ENSG00000221968"
"2948",3996,"LLGL1","17","lethal giant larvae homolog 1 (Drosophila)","Llgl1","ENSG00000131899, ENSG00000284137"
"2949",3998,"LMAN1","18","lectin, mannose-binding, 1","Lman1","ENSG00000074695"
"2950",4000,"LMNA","1","lamin A/C","Lmna","ENSG00000160789"
"2951",4001,"LMNB1","5","lamin B1","Lmnb1","ENSG00000113368"
"2952",4004,"LMO1","11","LIM domain only 1 (rhombotin 1)","Lmo1","ENSG00000166407"
"2953",4005,"LMO2","11","LIM domain only 2 (rhombotin-like 1)","Lmo2","ENSG00000135363"
"2954",4007,"PRICKLE3","X","prickle homolog 3 (Drosophila)","Prickle3","ENSG00000012211"
